date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:53	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202015%2021:29:53%20GMT	http://babylonjs.com/Scenes/Worldmonger/babylon.collisionCoordinator.js	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/babylon.collisionCoordinator.27.delayed	(from http://babylonjs.com/babylon.js)
13:29:53	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202015%2021:29:53%20GMT	http://babylonjs.com/Scenes/Worldmonger/babylon.collider.js	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/babylon.collider.28.delayed	(from http://babylonjs.com/babylon.js)
13:29:54	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202015%2021:29:53%20GMT	http://babylonjs.com/Scenes/Math/babylon.math.js	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Math/babylon.math.29.delayed	(from http://babylonjs.com/babylon.js)
13:30:02	268381/268381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a47-4185d%22	http://code.jquery.com/jquery-1.9.1.js	C:/Users/prayers/Desktop/mounts/code.jquery.com/jquery-1.9.1.js	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:30:08	435844/435844	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-6a684%22	http://code.jquery.com/ui/1.10.3/jquery-ui.js	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/jquery-ui.js	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:30:45	224275/224275	---M--	200	added ('OK')	image/jpeg	etag:%2254447656edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/snow.jpg	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/snow.jpg	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
13:31:16	517495/517495	---M--	200	added ('OK')	image/jpeg	etag:%229faaf636edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/ground.jpg	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/ground.jpg	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
13:31:41	615881/615881	---M--	200	added ('OK')	image/jpeg	etag:%22920d3626edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/grass.jpg	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/grass.jpg	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
13:32:09	323951/323951	---M--	200	added ('OK')	image/jpeg	etag:%22a9a57d646edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/rock.jpg	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/rock.jpg	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
13:32:29	64728/64728	---M--	200	added ('OK')	image/png	etag:%2231a1c666edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Water/bump.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Water/bump.png	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Water/waterMaterial.js)
13:32:44	88015/88015	---M--	200	added ('OK')	image/png	etag:%22b6d8575d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/heightMap.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/heightMap.png	(from http://babylonjs.com/Scenes/Worldmonger/index.js)
13:32:48	432759/432759	---M--	200	added ('OK')	image/png	etag:%22c56978626edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/blend.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/blend.png	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
13:32:52	49842/49842	---M--	200	added ('OK')	image/png	etag:%22fbf22c5d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/Flare.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/Flare.png	(from http://babylonjs.com/Scenes/Worldmonger/elevationControl.js)
13:35:35	4502645/4502645	---M--	200	added ('OK')	audio/mpeg	etag:%22cf1723606edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/WorldMongerTheme.mp3	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/WorldMongerTheme.mp3	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:35:49	1660280/1660280	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22b366d656edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/sand.jpg	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Shaders/Ground/sand.jpg	(from http://babylonjs.com/Scenes/Worldmonger/Shaders/Ground/groundMaterial.js)
